"Time","POST /login (SRinT)","POST /login (SR)"
2023-07-18 06:41:20,0.600,0.600
2023-07-18 06:41:30,0.500,0.500
2023-07-18 06:41:40,0.700,0.700
2023-07-18 06:41:50,0.600,0.600
2023-07-18 06:42:00,0.500,0.500
2023-07-18 06:42:10,0.700,0.700
2023-07-18 06:42:20,0.200,0.200
2023-07-18 06:42:30,0.900,0.900
2023-07-18 06:42:40,0.600,0.600
2023-07-18 06:42:50,0.700,0.700
2023-07-18 06:43:00,0.200,0.200
2023-07-18 06:43:10,0.400,0.400
2023-07-18 06:43:20,0.600,0.600
2023-07-18 06:43:30,0.300,0.300
2023-07-18 06:43:40,0.500,0.500
2023-07-18 06:43:50,0.600,0.600
2023-07-18 06:44:00,0.300,0.300
2023-07-18 06:44:10,0.400,0.400
2023-07-18 06:44:20,0.400,0.400
2023-07-18 06:44:30,0.900,0.900
2023-07-18 06:44:40,0.500,0.500
2023-07-18 06:44:50,0.300,0.300
2023-07-18 06:45:00,0.400,0.400
2023-07-18 06:45:10,0.300,0.300
2023-07-18 06:45:20,0.600,0.600
2023-07-18 06:45:30,0.500,0.500
2023-07-18 06:45:40,0.200,0.200
2023-07-18 06:45:50,0.400,0.400
2023-07-18 06:46:00,0.600,0.600
2023-07-18 06:46:10,0.700,0.700
2023-07-18 06:46:20,0.500,0.500
2023-07-18 06:46:30,0.300,0.300
2023-07-18 06:46:40,0.200,0.200
2023-07-18 06:46:50,0.200,0.200
2023-07-18 06:47:00,0.100,0.200
2023-07-18 06:47:10,0.600,0.600
2023-07-18 06:47:20,0.200,0.400
2023-07-18 06:47:30,0.800,0.800
2023-07-18 06:47:40,0.300,0.400
2023-07-18 06:47:50,0.100,0.100
2023-07-18 06:48:00,0.300,0.300
2023-07-18 06:48:10,0.500,0.600
2023-07-18 06:48:20,0.400,0.400
2023-07-18 06:48:30,0.400,0.600
2023-07-18 06:48:40,0.200,0.200
2023-07-18 06:48:50,0.100,0.200
2023-07-18 06:49:00,0.400,0.400
2023-07-18 06:49:10,0.400,0.500
2023-07-18 06:49:20,0.200,0.200
2023-07-18 06:49:30,0.400,0.400
